company,env_score,soc_score,gov_score,total_score,controversy_lvl
A,1.1,6.4,6.1,13.6,2
AA,13.8,5.9,4.3,24.0,3
AAL,9.9,11.6,4.8,26.4,2
AAP,0.1,8.3,3.1,11.5,2
AAPL,0.5,7.4,9.4,17.2,3
ABBV,2.4,17.2,10.4,29.9,3
ABT,2.3,14.2,8.3,24.8,3
ACGL,1.5,10.1,10.9,22.5,2
ACM,11.1,12.2,6.2,29.4,2
ACN,0.8,4.6,4.4,9.8,2
ADBE,1.9,6.0,5.2,13.1,2
ADI,9.3,6.7,7.0,22.9,1
ADM,16.6,10.1,5.0,31.8,3
ADP,2.8,5.5,5.5,13.8,1
ADSK,3.7,8.2,4.9,16.8,N/A
AEE,12.9,9.1,5.3,27.2,2
AEM,8.8,7.4,5.2,21.4,2
AEP,12.7,8.1,5.4,26.1,2
AER,5.3,8.2,6.6,20.0,N/A
AES,13.3,8.2,5.3,26.7,2
AFG,2.5,12.3,13.1,27.9,1
AFL,0.3,9.1,8.9,18.3,1
AGNC,7.0,3.3,5.8,16.1,N/A
AIG,1.6,9.7,12.9,24.2,2
AIV,,,,19.7,N/A
AIZ,1.6,10.8,11.7,24.1,2
AJG,0.1,10.9,10.1,21.2,2
AKAM,3.0,7.1,6.9,17.0,1
ALB,15.4,4.8,6.3,26.6,2
ALKS,1.4,15.6,7.5,24.5,1
ALL,1.0,10.1,10.9,22.0,2
ALLE,10.9,5.8,5.0,21.8,N/A
ALLY,0.1,11.8,11.0,23.0,2
ALV,4.9,5.1,7.1,17.2,3
AMAT,4.5,3.0,5.3,12.7,1
AME,8.6,8.5,6.7,23.9,1
AMG,2.1,7.9,11.5,21.5,1
AMGN,0.7,13.5,7.8,22.0,3
AMP,2.1,7.8,10.3,20.3,2
AMT,2.9,2.8,5.2,10.9,1
AMZN,6.0,15.4,9.2,30.6,3
ANET,0.4,8.9,7.4,16.7,1
ANSS,3.5,7.3,5.1,15.9,N/A
AOS,7.2,11.9,6.4,25.4,1
APA,22.0,8.9,8.0,38.8,2
APD,7.4,1.5,3.3,12.3,1
APH,7.3,4.6,7.6,19.6,2
APTV,1.5,3.9,5.3,10.7,1
AR,,,,36.4,1
ARE,3.9,3.7,6.3,13.9,N/A
ARMK,8.1,10.9,4.8,23.9,2
ARW,2.5,3.0,4.0,9.4,N/A
ASH,19.0,7.2,6.2,32.4,2
ATO,14.8,13.4,6.4,34.6,2
AVB,3.0,2.0,4.8,9.8,1
AVGO,7.3,6.0,6.6,20.0,3
AVT,2.1,2.7,3.4,8.2,2
AVY,11.4,0.9,3.7,16.1,1
AWK,9.0,7.6,5.0,21.6,1
AXP,0.1,8.9,9.7,18.6,2
AXS,1.7,10.5,11.8,24.0,2
AXTA,14.9,7.4,4.8,27.1,N/A
AYI,5.2,9.2,5.0,19.5,2
AZO,0.1,7.1,3.8,11.0,2
BA,8.8,22.5,8.3,39.6,4
BAC,1.7,15.1,11.5,28.3,3
BAH,1.3,9.1,6.6,17.0,2
BALL,7.6,0.8,3.7,12.1,2
BAM,0.4,8.6,9.0,18.0,1
BAP,2.0,10.1,10.0,22.1,2
BAX,2.8,13.6,7.1,23.6,3
BBWI,12.2,10.3,5.9,28.3,2
BBY,2.4,9.1,4.4,15.9,2
BCE,3.4,10.2,5.2,18.8,2
BDX,3.0,13.6,7.1,23.8,3
BEN,1.1,9.9,7.3,18.3,2
BEP,2.5,9.5,5.8,17.8,1
BFH,,,,18.0,1
BG,14.4,13.3,5.3,32.9,3
BHC,5.3,17.9,8.1,31.4,3
BIDU,2.5,12.6,9.1,24.2,3
BIIB,0.4,14.5,7.4,22.2,3
BIO,1.2,9.2,7.0,17.4,1
BK,1.1,9.9,9.9,20.9,2
BKNG,1.0,10.1,8.1,19.2,3
BLK,0.9,7.4,10.0,18.3,2
BMO,1.9,5.7,7.6,15.3,2
BMRN,1.2,17.2,7.3,25.7,1
BMY,1.3,14.4,7.1,22.7,2
BN,0.8,8.9,10.1,19.8,1
BNS,1.6,9.7,8.9,20.1,3
BOKF,2.3,7.6,11.3,21.2,1
BR,4.2,7.5,4.9,16.6,2
BRO,0.1,9.8,10.6,20.5,1
BRX,3.8,2.9,4.6,11.3,N/A
BSX,2.4,11.9,8.9,23.1,2
BWA,2.7,4.2,5.7,12.6,2
BX,2.5,9.6,11.3,23.4,2
BXP,2.5,4.5,5.4,12.5,1
C,1.8,13.8,13.7,29.2,4
CAG,10.7,15.4,4.7,30.8,2
CAH,1.2,7.3,6.4,14.9,3
CAT,10.4,17.7,8.1,36.2,4
CB,1.5,11.5,10.6,23.6,2
CBOE,2.7,7.6,10.6,21.0,1
CBRE,1.5,1.9,4.6,8.0,1
CBSH,2.0,9.4,12.2,23.7,1
CCI,4.1,1.7,4.3,10.1,N/A
CCK,6.1,0.9,3.5,10.4,1
CCL,9.4,10.1,5.0,24.5,3
CDNS,2.3,4.9,4.8,12.0,N/A
CDW,2.5,3.2,3.5,9.2,N/A
CE,14.7,5.9,5.6,26.1,2
CERS,3.7,10.4,7.8,22.2,
CET,3.0,8.6,7.9,21.6,
CF,16.2,7.7,5.4,29.3,1
CFG,2.0,10.1,11.4,23.5,2
CFR,2.2,12.8,15.2,30.2,1
CHD,6.9,6.3,6.7,19.9,1
CHK,23.8,10.9,9.3,44.0,2
CHKP,5.1,12.2,5.8,23.1,1
CHRW,4.7,9.3,5.3,19.3,1
CHTR,6.1,10.7,7.9,24.7,2
CI,0.0,6.0,5.7,11.6,2
CINF,1.8,11.0,12.9,25.6,1
CL,8.3,11.3,6.5,26.2,2
CLX,7.7,8.6,5.3,21.6,2
CM,1.9,7.8,8.0,17.7,2
CMA,2.5,11.0,11.7,25.2,2
CMCSA,4.0,10.9,8.2,23.1,2
CME,2.1,6.5,9.2,17.8,1
CMG,6.8,9.6,4.3,20.7,2
CMI,5.6,7.7,5.9,19.3,2
CMS,9.6,6.8,5.2,21.7,2
CNA,2.1,12.3,14.5,28.9,1
CNC,0.1,13.3,6.5,19.9,2
CNHI,5.2,4.9,7.0,17.0,3
CNI,4.9,6.7,2.4,14.0,2
CNP,12.9,10.7,5.1,28.7,2
CNQ,15.6,7.1,7.1,29.8,1
COF,0.1,12.3,10.1,22.5,3
COMM,,,,14.5,2
COO,2.7,8.8,6.0,17.5,2
COP,17.6,8.1,8.3,33.9,2
COR,1.6,5.5,5.7,12.8,3
COST,6.5,11.2,5.6,23.3,3
COTY,10.9,8.6,7.1,26.6,2
CP,6.2,8.2,2.8,17.2,2
CPB,10.9,8.1,4.5,23.5,2
CPG,27.3,7.9,7.2,42.4,N/A
CPRI,1.4,9.2,6.1,16.7,2
CPRT,1.5,9.0,5.6,16.0,1
CPT,4.0,3.9,8.2,16.1,1
CRM,2.0,7.5,5.4,14.9,1
CSCO,0.4,6.9,6.5,13.9,2
CSGP,4.9,9.3,7.7,21.9,1
CSL,11.0,5.9,5.8,22.8,1
CSX,7.0,10.0,4.8,21.9,2
CTAS,3.0,9.2,5.9,18.1,2
CTRA,20.3,8.3,7.5,36.1,2
CTSH,1.1,7.6,5.9,14.7,2
CVE,21.6,9.6,8.1,39.3,2
CVS,0.0,15.8,6.2,22.0,3
CVX,17.0,9.2,10.4,36.6,3
D,11.9,8.8,5.6,26.4,2
DAL,9.9,14.6,5.8,30.3,2
DB,1.1,11.6,15.3,27.9,4
DCI,10.8,12.8,7.4,31.0,1
DD,14.7,8.0,5.9,28.6,3
DE,2.7,10.8,6.5,20.0,2
DEI,5.3,5.3,7.6,18.2,N/A
DELL,0.7,8.4,7.5,16.7,3
DFS,0.1,11.9,10.5,22.5,2
DG,3.5,8.6,5.5,17.6,2
DGX,0.1,13.1,8.0,21.2,3
DHI,8.7,6.7,5.7,21.0,2
DHR,1.4,5.2,5.3,11.9,2
DIS,0.0,9.0,6.7,15.7,2
DKS,3.7,8.1,5.5,17.4,2
DLR,2.8,2.8,7.0,12.6,N/A
DLTR,3.3,12.8,4.0,20.1,2
DOV,8.0,12.5,5.4,25.9,1
DOX,1.2,6.0,5.3,12.5,1
DPZ,10.6,12.2,6.3,29.2,2
DRI,7.9,15.0,4.6,27.5,2
DTE,15.0,10.0,4.7,29.8,2
DUK,11.5,10.7,4.8,27.0,2
DVA,0.1,14.1,8.4,22.6,2
DVN,17.7,8.6,7.5,33.8,2
DXC,1.3,8.8,5.3,15.3,2
DXCM,5.3,10.6,8.1,24.0,1
EA,0.1,8.4,4.7,13.3,2
EBAY,2.7,7.7,7.2,17.6,2
ECL,8.5,6.1,5.3,19.9,2
ED,6.9,10.9,6.1,23.8,3
EDU,0.2,9.4,6.1,15.7,2
EFX,0.1,16.3,6.8,23.2,3
EG,1.4,6.7,9.9,18.0,1
EIX,11.0,11.4,5.1,27.5,3
EL,6.9,11.1,7.5,25.5,2
ELV,0.1,6.0,5.3,11.4,2
EMN,12.8,5.8,6.6,25.3,2
EMR,8.8,13.1,6.6,28.4,1
ENB,10.1,8.0,3.0,21.1,3
EOG,20.2,6.7,7.3,34.2,1
EQIX,3.4,5.3,5.1,13.9,1
EQR,3.0,2.9,6.1,11.9,1
EQT,17.7,10.1,7.9,35.7,1
ERIE,2.6,11.4,13.5,27.6,1
ES,4.7,8.6,5.4,18.6,2
ESS,3.5,2.8,6.1,12.4,1
ET,,,,52.0,5
ETN,5.5,6.8,5.7,17.9,1
ETR,14.0,7.3,5.3,26.7,2
EW,2.9,8.1,7.6,18.6,1
EWBC,1.6,12.3,13.4,27.3,1
EXC,7.4,9.1,6.4,22.9,3
EXP,22.3,9.2,9.0,40.5,1
EXPD,4.2,7.6,4.8,16.6,2
EXPE,4.3,13.3,10.1,27.6,2
EXR,4.2,3.7,7.3,15.2,1
F,7.4,6.4,8.5,22.4,3
FAST,9.3,8.3,7.1,24.7,2
FBIN,10.6,6.1,7.5,24.2,1
